rating,freq,verb,ParticipantID,routine
3,hi,pick,Participant1,hi
4,lo,catch,Participant1,lo
3,lo,throw,Participant1,lo
3,hi,break,Participant1,lo
2,hi,taste,Participant1,hi
4,hi,bottle,Participant1,hi
3,lo,sell,Participant1,hi
2,lo,chop,Participant1,lo
3,hi,pick,Participant2,lo
2,lo,catch,Participant2,lo
2,lo,throw,Participant2,hi
2,lo,break,Participant2,lo
3,lo,taste,Participant2,hi
3,hi,bottle,Participant2,hi
2,lo,sell,Participant2,hi
3,hi,chop,Participant2,lo
4,hi,pick,Participant3,lo
2,lo,catch,Participant3,lo
5,lo,throw,Participant3,hi
3,hi,break,Participant3,hi
4,lo,taste,Participant3,hi
4,lo,bottle,Participant3,hi
3,hi,sell,Participant3,lo
3,lo,chop,Participant3,hi
3,hi,pick,Participant4,hi
2,hi,catch,Participant4,lo
5,hi,throw,Participant4,hi
1,lo,break,Participant4,lo
1,hi,taste,Participant4,lo
2,lo,bottle,Participant4,lo
3,hi,sell,Participant4,hi
2,lo,chop,Participant4,hi
4,lo,pick,Participant5,lo
3,lo,catch,Participant5,hi
3,lo,throw,Participant5,hi
3,hi,break,Participant5,lo
5,hi,taste,Participant5,lo
3,hi,bottle,Participant5,lo
3,hi,sell,Participant5,lo
4,hi,chop,Participant5,hi
1,lo,pick,Participant6,hi
1,hi,catch,Participant6,hi
3,hi,throw,Participant6,hi
1,lo,break,Participant6,lo
2,lo,taste,Participant6,hi
3,hi,bottle,Participant6,hi
2,lo,sell,Participant6,hi
2,hi,chop,Participant6,hi
1,lo,pick,Participant7,lo
2,lo,catch,Participant7,lo
2,hi,throw,Participant7,lo
1,hi,break,Participant7,hi
3,hi,taste,Participant7,lo
4,lo,bottle,Participant7,hi
3,lo,sell,Participant7,lo
3,lo,chop,Participant7,hi
3,hi,pick,Participant8,lo
3,lo,catch,Participant8,hi
3,lo,throw,Participant8,lo
3,hi,break,Participant8,hi
4,hi,taste,Participant8,lo
5,lo,bottle,Participant8,hi
4,lo,sell,Participant8,hi
3,hi,chop,Participant8,lo
1,hi,pick,Participant9,lo
1,hi,catch,Participant9,lo
1,hi,throw,Participant9,hi
1,hi,break,Participant9,hi
1,lo,taste,Participant9,hi
3,hi,bottle,Participant9,hi
1,lo,sell,Participant9,lo
1,hi,chop,Participant9,lo
3,lo,pick,Participant10,lo
2,lo,catch,Participant10,lo
4,hi,throw,Participant10,hi
4,lo,break,Participant10,hi
4,lo,taste,Participant10,hi
2,lo,bottle,Participant10,lo
3,lo,sell,Participant10,hi
4,hi,chop,Participant10,hi
3,hi,pick,Participant11,lo
1,lo,catch,Participant11,lo
1,hi,throw,Participant11,hi
2,lo,break,Participant11,hi
2,hi,taste,Participant11,hi
3,lo,bottle,Participant11,lo
1,hi,sell,Participant11,lo
1,lo,chop,Participant11,lo
3,hi,pick,Participant12,lo
1,hi,catch,Participant12,lo
2,lo,throw,Participant12,hi
1,hi,break,Participant12,lo
5,lo,taste,Participant12,hi
5,hi,bottle,Participant12,hi
2,lo,sell,Participant12,hi
2,hi,chop,Participant12,hi
3,hi,pick,Participant13,hi
1,lo,catch,Participant13,hi
4,hi,throw,Participant13,hi
1,lo,break,Participant13,lo
2,hi,taste,Participant13,hi
4,hi,bottle,Participant13,lo
2,lo,sell,Participant13,hi
5,lo,chop,Participant13,lo
4,hi,pick,Participant14,hi
4,hi,catch,Participant14,lo
2,lo,throw,Participant14,lo
2,hi,break,Participant14,lo
3,hi,taste,Participant14,lo
3,hi,bottle,Participant14,lo
2,hi,sell,Participant14,lo
1,lo,chop,Participant14,lo
3,hi,pick,Participant15,lo
1,hi,catch,Participant15,lo
4,hi,throw,Participant15,hi
1,lo,break,Participant15,lo
2,lo,taste,Participant15,lo
3,lo,bottle,Participant15,hi
4,hi,sell,Participant15,hi
2,lo,chop,Participant15,hi
3,hi,pick,Participant16,hi
1,lo,catch,Participant16,lo
3,lo,throw,Participant16,hi
1,lo,break,Participant16,lo
1,lo,taste,Participant16,lo
2,hi,bottle,Participant16,lo
1,hi,sell,Participant16,lo
1,hi,chop,Participant16,hi
4,lo,pick,Participant17,hi
1,hi,catch,Participant17,hi
1,lo,throw,Participant17,hi
1,hi,break,Participant17,hi
2,hi,taste,Participant17,hi
1,hi,bottle,Participant17,lo
1,hi,sell,Participant17,lo
3,lo,chop,Participant17,hi
1,lo,pick,Participant18,lo
2,hi,catch,Participant18,hi
2,lo,throw,Participant18,lo
1,lo,break,Participant18,lo
1,lo,taste,Participant18,hi
1,lo,bottle,Participant18,hi
1,lo,sell,Participant18,hi
2,lo,chop,Participant18,lo
4,lo,pick,Participant19,lo
1,hi,catch,Participant19,hi
1,lo,throw,Participant19,hi
2,lo,break,Participant19,lo
1,hi,taste,Participant19,hi
4,lo,bottle,Participant19,lo
1,hi,sell,Participant19,hi
2,hi,chop,Participant19,lo
3,lo,pick,Participant20,lo
1,hi,catch,Participant20,lo
1,lo,throw,Participant20,lo
1,hi,break,Participant20,hi
2,hi,taste,Participant20,hi
2,hi,bottle,Participant20,lo
2,lo,sell,Participant20,lo
1,hi,chop,Participant20,hi
4,hi,pick,Participant21,hi
1,lo,catch,Participant21,hi
4,hi,throw,Participant21,hi
1,lo,break,Participant21,lo
2,hi,taste,Participant21,lo
4,lo,bottle,Participant21,lo
3,lo,sell,Participant21,lo
2,hi,chop,Participant21,hi
1,hi,pick,Participant22,hi
1,lo,catch,Participant22,lo
1,hi,throw,Participant22,lo
1,lo,break,Participant22,lo
1,hi,taste,Participant22,hi
3,hi,bottle,Participant22,hi
1,hi,sell,Participant22,lo
1,lo,chop,Participant22,lo
3,lo,pick,Participant23,hi
2,lo,catch,Participant23,lo
4,hi,throw,Participant23,hi
2,hi,break,Participant23,lo
2,lo,taste,Participant23,lo
3,lo,bottle,Participant23,lo
5,lo,sell,Participant23,hi
4,lo,chop,Participant23,hi
1,hi,pick,Participant24,lo
1,lo,catch,Participant24,hi
1,lo,throw,Participant24,lo
1,hi,break,Participant24,hi
1,hi,taste,Participant24,lo
4,lo,bottle,Participant24,lo
1,lo,sell,Participant24,lo
1,hi,chop,Participant24,lo
3,lo,pick,Participant25,hi
1,hi,catch,Participant25,lo
1,hi,throw,Participant25,hi
1,hi,break,Participant25,lo
1,hi,taste,Participant25,lo
3,lo,bottle,Participant25,lo
2,hi,sell,Participant25,lo
1,lo,chop,Participant25,lo
1,lo,pick,Participant26,lo
1,hi,catch,Participant26,lo
1,lo,throw,Participant26,lo
1,hi,break,Participant26,lo
1,hi,taste,Participant26,hi
3,lo,bottle,Participant26,hi
1,hi,sell,Participant26,lo
1,lo,chop,Participant26,hi
1,lo,pick,Participant27,lo
1,hi,catch,Participant27,hi
2,hi,throw,Participant27,lo
1,hi,break,Participant27,hi
1,lo,taste,Participant27,hi
1,lo,bottle,Participant27,lo
2,hi,sell,Participant27,hi
1,hi,chop,Participant27,lo
3,hi,pick,Participant28,lo
4,lo,catch,Participant28,hi
4,lo,throw,Participant28,hi
2,hi,break,Participant28,hi
3,hi,taste,Participant28,lo
4,lo,bottle,Participant28,hi
2,lo,sell,Participant28,lo
2,lo,chop,Participant28,hi
1,hi,pick,Participant29,hi
1,lo,catch,Participant29,hi
3,lo,throw,Participant29,hi
1,hi,break,Participant29,lo
2,lo,taste,Participant29,hi
4,hi,bottle,Participant29,hi
1,lo,sell,Participant29,hi
1,hi,chop,Participant29,lo
1,hi,pick,Participant30,hi
1,lo,catch,Participant30,lo
1,lo,throw,Participant30,lo
2,hi,break,Participant30,hi
1,hi,taste,Participant30,lo
3,hi,bottle,Participant30,lo
2,lo,sell,Participant30,lo
1,hi,chop,Participant30,lo
4,lo,pick,Participant31,hi
2,hi,catch,Participant31,hi
5,hi,throw,Participant31,lo
3,hi,break,Participant31,hi
2,lo,taste,Participant31,lo
3,lo,bottle,Participant31,hi
2,lo,sell,Participant31,lo
2,lo,chop,Participant31,lo
1,lo,pick,Participant32,lo
2,lo,catch,Participant32,hi
1,lo,throw,Participant32,hi
1,hi,break,Participant32,hi
2,lo,taste,Participant32,hi
3,lo,bottle,Participant32,hi
2,hi,sell,Participant32,lo
1,lo,chop,Participant32,lo
4,hi,pick,Participant33,hi
4,hi,catch,Participant33,hi
3,hi,throw,Participant33,lo
4,hi,break,Participant33,hi
4,hi,taste,Participant33,lo
3,hi,bottle,Participant33,hi
3,lo,sell,Participant33,hi
4,hi,chop,Participant33,hi
1,hi,pick,Participant34,hi
1,lo,catch,Participant34,lo
3,hi,throw,Participant34,lo
1,hi,break,Participant34,lo
2,lo,taste,Participant34,hi
3,hi,bottle,Participant34,lo
1,lo,sell,Participant34,lo
3,lo,chop,Participant34,hi
5,lo,pick,Participant35,lo
4,lo,catch,Participant35,hi
4,hi,throw,Participant35,hi
4,hi,break,Participant35,lo
4,hi,taste,Participant35,hi
4,lo,bottle,Participant35,hi
4,hi,sell,Participant35,hi
4,lo,chop,Participant35,hi
2,lo,pick,Participant36,hi
2,lo,catch,Participant36,hi
3,hi,throw,Participant36,hi
1,lo,break,Participant36,hi
3,lo,taste,Participant36,hi
3,lo,bottle,Participant36,hi
3,lo,sell,Participant36,hi
2,hi,chop,Participant36,hi
2,lo,pick,Participant37,lo
2,lo,catch,Participant37,lo
4,hi,throw,Participant37,hi
2,hi,break,Participant37,lo
2,lo,taste,Participant37,hi
4,hi,bottle,Participant37,hi
3,lo,sell,Participant37,lo
4,hi,chop,Participant37,hi
4,hi,pick,Participant38,lo
3,hi,catch,Participant38,hi
3,lo,throw,Participant38,lo
4,lo,break,Participant38,hi
3,hi,taste,Participant38,hi
3,lo,bottle,Participant38,lo
3,hi,sell,Participant38,lo
2,hi,chop,Participant38,lo
2,hi,pick,Participant39,lo
1,lo,catch,Participant39,hi
3,hi,throw,Participant39,lo
4,hi,break,Participant39,lo
1,hi,taste,Participant39,lo
2,lo,bottle,Participant39,hi
1,hi,sell,Participant39,lo
2,hi,chop,Participant39,hi
3,hi,pick,Participant40,hi
1,hi,catch,Participant40,hi
4,lo,throw,Participant40,hi
1,hi,break,Participant40,lo
1,lo,taste,Participant40,hi
1,lo,bottle,Participant40,lo
3,hi,sell,Participant40,lo
1,hi,chop,Participant40,lo
2,hi,pick,Participant41,hi
2,hi,catch,Participant41,lo
3,hi,throw,Participant41,lo
1,lo,break,Participant41,hi
1,lo,taste,Participant41,lo
1,hi,bottle,Participant41,lo
2,hi,sell,Participant41,lo
1,lo,chop,Participant41,hi
2,hi,pick,Participant42,hi
1,lo,catch,Participant42,lo
2,lo,throw,Participant42,hi
1,hi,break,Participant42,hi
4,lo,taste,Participant42,hi
2,lo,bottle,Participant42,lo
2,hi,sell,Participant42,hi
3,hi,chop,Participant42,lo
2,hi,pick,Participant43,hi
1,hi,catch,Participant43,hi
1,lo,throw,Participant43,hi
1,lo,break,Participant43,lo
3,hi,taste,Participant43,hi
3,hi,bottle,Participant43,lo
2,lo,sell,Participant43,hi
1,hi,chop,Participant43,lo
1,hi,pick,Participant44,lo
1,lo,catch,Participant44,hi
1,hi,throw,Participant44,hi
1,hi,break,Participant44,hi
1,hi,taste,Participant44,hi
2,lo,bottle,Participant44,lo
2,hi,sell,Participant44,lo
1,hi,chop,Participant44,hi
2,hi,pick,Participant45,lo
3,lo,catch,Participant45,lo
2,hi,throw,Participant45,lo
3,lo,break,Participant45,hi
3,lo,taste,Participant45,lo
2,lo,bottle,Participant45,hi
2,lo,sell,Participant45,lo
3,hi,chop,Participant45,lo
3,hi,pick,Participant46,hi
2,hi,catch,Participant46,hi
1,hi,throw,Participant46,hi
1,hi,break,Participant46,hi
2,lo,taste,Participant46,lo
4,lo,bottle,Participant46,lo
3,hi,sell,Participant46,lo
3,lo,chop,Participant46,hi
1,hi,pick,Participant47,lo
2,hi,catch,Participant47,hi
1,lo,throw,Participant47,lo
1,hi,break,Participant47,hi
2,lo,taste,Participant47,lo
4,lo,bottle,Participant47,hi
1,lo,sell,Participant47,hi
1,lo,chop,Participant47,lo
4,hi,pick,Participant48,hi
2,lo,catch,Participant48,hi
4,lo,throw,Participant48,lo
2,lo,break,Participant48,lo
3,hi,taste,Participant48,hi
4,hi,bottle,Participant48,lo
3,lo,sell,Participant48,hi
3,hi,chop,Participant48,lo
2,lo,pick,Participant49,hi
1,hi,catch,Participant49,hi
1,lo,throw,Participant49,lo
1,lo,break,Participant49,lo
2,hi,taste,Participant49,hi
3,lo,bottle,Participant49,lo
1,hi,sell,Participant49,hi
1,hi,chop,Participant49,lo
2,hi,pick,Participant50,hi
3,lo,catch,Participant50,lo
1,lo,throw,Participant50,lo
1,lo,break,Participant50,hi
1,hi,taste,Participant50,lo
2,hi,bottle,Participant50,lo
3,lo,sell,Participant50,lo
2,lo,chop,Participant50,lo
2,lo,pick,Participant51,lo
1,lo,catch,Participant51,lo
4,lo,throw,Participant51,hi
1,hi,break,Participant51,hi
1,lo,taste,Participant51,hi
3,hi,bottle,Participant51,lo
2,hi,sell,Participant51,hi
1,lo,chop,Participant51,lo
1,lo,pick,Participant52,hi
1,lo,catch,Participant52,lo
2,hi,throw,Participant52,hi
1,hi,break,Participant52,lo
3,hi,taste,Participant52,lo
2,hi,bottle,Participant52,hi
2,lo,sell,Participant52,lo
2,hi,chop,Participant52,lo
1,lo,pick,Participant53,hi
1,hi,catch,Participant53,hi
1,hi,throw,Participant53,hi
1,lo,break,Participant53,lo
1,lo,taste,Participant53,lo
2,hi,bottle,Participant53,hi
1,hi,sell,Participant53,lo
1,hi,chop,Participant53,hi
1,lo,pick,Participant54,lo
1,lo,catch,Participant54,lo
1,lo,throw,Participant54,hi
1,hi,break,Participant54,hi
1,lo,taste,Participant54,lo
4,lo,bottle,Participant54,lo
2,hi,sell,Participant54,hi
1,lo,chop,Participant54,lo
3,hi,pick,Participant55,lo
4,lo,catch,Participant55,hi
2,lo,throw,Participant55,lo
1,hi,break,Participant55,lo
3,hi,taste,Participant55,hi
3,hi,bottle,Participant55,lo
2,lo,sell,Participant55,lo
2,lo,chop,Participant55,hi
3,lo,pick,Participant56,hi
1,lo,catch,Participant56,lo
1,lo,throw,Participant56,lo
1,hi,break,Participant56,lo
5,lo,taste,Participant56,hi
5,hi,bottle,Participant56,hi
5,hi,sell,Participant56,hi
4,lo,chop,Participant56,lo
2,hi,pick,Participant57,lo
1,lo,catch,Participant57,lo
5,hi,throw,Participant57,hi
1,lo,break,Participant57,lo
5,hi,taste,Participant57,hi
3,lo,bottle,Participant57,lo
3,hi,sell,Participant57,hi
2,hi,chop,Participant57,lo
1,lo,pick,Participant58,lo
1,hi,catch,Participant58,lo
1,hi,throw,Participant58,lo
1,lo,break,Participant58,hi
1,hi,taste,Participant58,lo
2,lo,bottle,Participant58,hi
1,lo,sell,Participant58,lo
1,lo,chop,Participant58,lo
4,lo,pick,Participant59,hi
1,lo,catch,Participant59,hi
2,lo,throw,Participant59,lo
1,hi,break,Participant59,hi
3,hi,taste,Participant59,hi
3,hi,bottle,Participant59,lo
3,hi,sell,Participant59,hi
2,lo,chop,Participant59,lo
1,lo,pick,Participant60,hi
1,lo,catch,Participant60,lo
2,lo,throw,Participant60,lo
1,lo,break,Participant60,lo
1,hi,taste,Participant60,hi
2,lo,bottle,Participant60,lo
3,hi,sell,Participant60,hi
2,hi,chop,Participant60,hi
1,hi,pick,Participant61,lo
2,hi,catch,Participant61,lo
1,hi,throw,Participant61,hi
1,hi,break,Participant61,hi
3,hi,taste,Participant61,lo
3,lo,bottle,Participant61,hi
1,lo,sell,Participant61,hi
3,hi,chop,Participant61,lo
2,lo,pick,Participant62,hi
1,hi,catch,Participant62,hi
2,lo,throw,Participant62,hi
1,lo,break,Participant62,lo
1,lo,taste,Participant62,lo
3,lo,bottle,Participant62,lo
1,lo,sell,Participant62,lo
2,hi,chop,Participant62,hi
4,lo,pick,Participant63,hi
4,hi,catch,Participant63,hi
2,lo,throw,Participant63,lo
2,lo,break,Participant63,hi
2,lo,taste,Participant63,hi
4,lo,bottle,Participant63,hi
2,hi,sell,Participant63,lo
2,hi,chop,Participant63,lo
1,lo,pick,Participant64,hi
1,hi,catch,Participant64,hi
2,hi,throw,Participant64,lo
2,lo,break,Participant64,hi
3,hi,taste,Participant64,lo
3,hi,bottle,Participant64,lo
2,hi,sell,Participant64,lo
1,lo,chop,Participant64,lo
3,hi,pick,Participant65,lo
5,lo,catch,Participant65,hi
2,hi,throw,Participant65,lo
2,lo,break,Participant65,hi
5,lo,taste,Participant65,lo
2,lo,bottle,Participant65,lo
4,hi,sell,Participant65,lo
5,hi,chop,Participant65,lo
2,lo,pick,Participant66,lo
4,lo,catch,Participant66,hi
2,hi,throw,Participant66,lo
1,lo,break,Participant66,lo
3,lo,taste,Participant66,hi
2,lo,bottle,Participant66,hi
4,lo,sell,Participant66,hi
3,lo,chop,Participant66,lo
2,hi,pick,Participant67,lo
2,lo,catch,Participant67,lo
3,hi,throw,Participant67,lo
2,lo,break,Participant67,hi
3,hi,taste,Participant67,lo
4,lo,bottle,Participant67,hi
5,lo,sell,Participant67,hi
2,lo,chop,Participant67,lo
3,hi,pick,Participant68,lo
1,hi,catch,Participant68,lo
2,hi,throw,Participant68,hi
3,lo,break,Participant68,hi
1,hi,taste,Participant68,lo
4,lo,bottle,Participant68,lo
1,lo,sell,Participant68,lo
2,lo,chop,Participant68,lo
2,hi,pick,Participant69,hi
1,hi,catch,Participant69,hi
2,hi,throw,Participant69,hi
1,hi,break,Participant69,lo
2,hi,taste,Participant69,lo
1,lo,bottle,Participant69,lo
2,lo,sell,Participant69,lo
2,lo,chop,Participant69,lo
3,hi,pick,Participant70,lo
2,hi,catch,Participant70,hi
3,lo,throw,Participant70,hi
1,lo,break,Participant70,lo
2,hi,taste,Participant70,hi
4,lo,bottle,Participant70,hi
1,lo,sell,Participant70,lo
3,lo,chop,Participant70,lo
3,hi,pick,Participant71,hi
4,hi,catch,Participant71,hi
1,lo,throw,Participant71,lo
1,hi,break,Participant71,lo
2,hi,taste,Participant71,lo
3,hi,bottle,Participant71,hi
1,hi,sell,Participant71,lo
1,lo,chop,Participant71,hi
5,hi,pick,Participant72,lo
1,lo,catch,Participant72,hi
1,hi,throw,Participant72,lo
1,lo,break,Participant72,hi
2,hi,taste,Participant72,lo
5,hi,bottle,Participant72,lo
4,hi,sell,Participant72,lo
2,lo,chop,Participant72,lo
3,hi,pick,Participant73,lo
1,lo,catch,Participant73,lo
3,hi,throw,Participant73,lo
1,lo,break,Participant73,lo
3,lo,taste,Participant73,hi
5,hi,bottle,Participant73,hi
1,lo,sell,Participant73,hi
2,lo,chop,Participant73,lo
4,hi,pick,Participant74,hi
2,lo,catch,Participant74,lo
3,lo,throw,Participant74,lo
3,lo,break,Participant74,lo
3,lo,taste,Participant74,hi
4,lo,bottle,Participant74,hi
3,lo,sell,Participant74,lo
4,lo,chop,Participant74,lo
3,hi,pick,Participant75,lo
3,hi,catch,Participant75,hi
4,hi,throw,Participant75,lo
3,lo,break,Participant75,lo
4,lo,taste,Participant75,hi
3,lo,bottle,Participant75,lo
3,hi,sell,Participant75,hi
2,hi,chop,Participant75,lo
3,lo,pick,Participant76,lo
2,lo,catch,Participant76,hi
1,lo,throw,Participant76,lo
1,hi,break,Participant76,hi
3,hi,taste,Participant76,lo
5,hi,bottle,Participant76,lo
4,hi,sell,Participant76,lo
3,lo,chop,Participant76,hi
1,lo,pick,Participant77,lo
1,hi,catch,Participant77,lo
3,hi,throw,Participant77,lo
1,lo,break,Participant77,hi
1,hi,taste,Participant77,lo
3,hi,bottle,Participant77,hi
2,lo,sell,Participant77,lo
1,lo,chop,Participant77,hi
1,lo,pick,Participant78,lo
2,lo,catch,Participant78,hi
4,lo,throw,Participant78,hi
1,hi,break,Participant78,hi
2,hi,taste,Participant78,lo
4,lo,bottle,Participant78,hi
2,lo,sell,Participant78,hi
1,hi,chop,Participant78,lo
3,lo,pick,Participant79,lo
2,lo,catch,Participant79,hi
2,lo,throw,Participant79,hi
1,hi,break,Participant79,lo
3,lo,taste,Participant79,lo
3,hi,bottle,Participant79,lo
2,hi,sell,Participant79,hi
3,hi,chop,Participant79,hi
1,lo,pick,Participant80,hi
1,lo,catch,Participant80,hi
3,hi,throw,Participant80,hi
1,hi,break,Participant80,lo
1,lo,taste,Participant80,lo
3,lo,bottle,Participant80,lo
1,lo,sell,Participant80,lo
1,lo,chop,Participant80,hi
1,hi,pick,Participant81,lo
1,hi,catch,Participant81,lo
1,lo,throw,Participant81,lo
1,hi,break,Participant81,hi
3,hi,taste,Participant81,hi
2,hi,bottle,Participant81,lo
1,lo,sell,Participant81,lo
1,lo,chop,Participant81,hi
3,lo,pick,Participant82,hi
1,lo,catch,Participant82,hi
4,hi,throw,Participant82,lo
1,hi,break,Participant82,lo
5,lo,taste,Participant82,lo
5,lo,bottle,Participant82,hi
4,lo,sell,Participant82,hi
4,hi,chop,Participant82,lo
3,lo,pick,Participant83,hi
1,lo,catch,Participant83,lo
1,lo,throw,Participant83,lo
1,hi,break,Participant83,lo
3,hi,taste,Participant83,lo
4,hi,bottle,Participant83,hi
2,lo,sell,Participant83,hi
1,hi,chop,Participant83,lo
1,hi,pick,Participant84,lo
1,hi,catch,Participant84,hi
2,hi,throw,Participant84,hi
1,lo,break,Participant84,lo
1,hi,taste,Participant84,lo
2,hi,bottle,Participant84,hi
1,hi,sell,Participant84,lo
1,lo,chop,Participant84,lo
2,hi,pick,Participant85,hi
1,hi,catch,Participant85,lo
1,hi,throw,Participant85,hi
2,hi,break,Participant85,hi
1,hi,taste,Participant85,lo
1,hi,bottle,Participant85,lo
3,hi,sell,Participant85,hi
3,hi,chop,Participant85,hi
3,hi,pick,Participant86,hi
1,hi,catch,Participant86,hi
3,hi,throw,Participant86,lo
1,hi,break,Participant86,hi
1,hi,taste,Participant86,lo
5,lo,bottle,Participant86,lo
2,lo,sell,Participant86,lo
3,lo,chop,Participant86,hi
2,hi,pick,Participant87,hi
2,lo,catch,Participant87,lo
3,hi,throw,Participant87,lo
1,hi,break,Participant87,lo
2,lo,taste,Participant87,hi
2,lo,bottle,Participant87,lo
2,hi,sell,Participant87,hi
2,hi,chop,Participant87,lo
1,hi,pick,Participant88,hi
1,lo,catch,Participant88,lo
2,hi,throw,Participant88,lo
1,hi,break,Participant88,lo
1,hi,taste,Participant88,hi
2,lo,bottle,Participant88,lo
5,lo,sell,Participant88,lo
2,lo,chop,Participant88,hi
3,lo,pick,Participant89,lo
2,lo,catch,Participant89,lo
2,hi,throw,Participant89,lo
1,lo,break,Participant89,lo
1,hi,taste,Participant89,lo
3,hi,bottle,Participant89,lo
2,hi,sell,Participant89,lo
4,hi,chop,Participant89,hi
1,hi,pick,Participant90,lo
4,lo,catch,Participant90,hi
4,lo,throw,Participant90,hi
2,lo,break,Participant90,lo
3,hi,taste,Participant90,hi
2,hi,bottle,Participant90,lo
5,hi,sell,Participant90,hi
4,hi,chop,Participant90,hi
1,lo,pick,Participant91,lo
1,lo,catch,Participant91,hi
1,lo,throw,Participant91,lo
1,hi,break,Participant91,lo
1,hi,taste,Participant91,lo
1,lo,bottle,Participant91,lo
1,lo,sell,Participant91,lo
1,lo,chop,Participant91,lo
4,lo,pick,Participant92,hi
2,lo,catch,Participant92,hi
4,lo,throw,Participant92,hi
3,hi,break,Participant92,lo
4,lo,taste,Participant92,hi
4,lo,bottle,Participant92,lo
4,lo,sell,Participant92,lo
4,hi,chop,Participant92,hi
1,hi,pick,Participant93,lo
1,lo,catch,Participant93,hi
1,hi,throw,Participant93,hi
1,lo,break,Participant93,lo
1,hi,taste,Participant93,hi
4,hi,bottle,Participant93,hi
2,lo,sell,Participant93,lo
1,lo,chop,Participant93,hi
3,hi,pick,Participant94,lo
1,lo,catch,Participant94,lo
1,hi,throw,Participant94,lo
2,lo,break,Participant94,lo
4,lo,taste,Participant94,hi
4,lo,bottle,Participant94,lo
4,lo,sell,Participant94,lo
4,lo,chop,Participant94,hi
4,lo,pick,Participant95,lo
3,lo,catch,Participant95,lo
3,hi,throw,Participant95,lo
2,hi,break,Participant95,hi
3,hi,taste,Participant95,hi
3,lo,bottle,Participant95,lo
2,hi,sell,Participant95,hi
4,lo,chop,Participant95,lo
4,lo,pick,Participant96,hi
1,hi,catch,Participant96,lo
1,lo,throw,Participant96,lo
1,hi,break,Participant96,lo
2,hi,taste,Participant96,lo
5,lo,bottle,Participant96,hi
1,lo,sell,Participant96,hi
3,lo,chop,Participant96,lo
3,hi,pick,Participant97,lo
4,hi,catch,Participant97,lo
4,lo,throw,Participant97,lo
5,hi,break,Participant97,lo
2,lo,taste,Participant97,lo
5,lo,bottle,Participant97,lo
3,lo,sell,Participant97,hi
5,hi,chop,Participant97,hi
1,lo,pick,Participant98,lo
1,lo,catch,Participant98,lo
1,hi,throw,Participant98,hi
1,lo,break,Participant98,hi
1,lo,taste,Participant98,hi
3,lo,bottle,Participant98,hi
1,hi,sell,Participant98,hi
1,hi,chop,Participant98,hi
